file,category,model,prompt_version,score_rate,omission_rate
4_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.25,0.625
5_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.25
9_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.75,0.0
10_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.25,0.5
11_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.125
12_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.375,0.5
13_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.25
14_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.6875,0.25
16_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.25,0.625
17_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.25
18_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.375
19_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.25,0.625
20_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.4375,0.5
31_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.25
32_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.25
36_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.75,0.25
38_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.9375,0.0
40_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.25
41_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.8125,0.125
43_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,1.0,0.0
44_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.875,0.125
48_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,1.0,0.0
54_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.4375,0.375
55_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.375,0.375
56_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5625,0.375
57_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.4375,0.375
61_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.4375,0.375
62_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.875,0.125
63_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5625,0.375
64_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.4375,0.375
67_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.4375,0.375
69_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.375,0.5
70_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.125,0.75
71_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.75,0.125
72_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.6875,0.125
73_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.375
85_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.375
86_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.25,0.75
88_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.25
93_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.25
94_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.75,0.125
99_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.0,1.0
100_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.375,0.5
101_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.9375,0.0
102_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.6875,0.25
103_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.6875,0.125
104_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.375,0.375
107_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.375
115_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.25,0.625
116_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.25,0.75
120_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5625,0.25
121_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.4375,0.5
122_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5625,0.375
123_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.25
124_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.4375,0.375
125_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.25
126_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.125,0.875
127_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.375,0.5
128_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.75,0.125
129_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.6875,0.25
133_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.5
134_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.375
136_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.5
137_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.875,0.0
142_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.3125,0.625
147_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.6875,0.25
148_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.25
149_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.75,0.25
151_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5625,0.25
153_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.6875,0.25
154_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.25
156_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.75,0.25
157_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.8125,0.0
158_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.25
159_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.3125,0.5
161_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5625,0.25
162_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.25
163_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.75,0.125
164_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.375,0.625
166_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.375
167_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.375
168_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.25
169_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5625,0.375
170_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.4375,0.375
171_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.6875,0.25
174_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.75,0.125
175_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.3125,0.625
176_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.125,0.875
177_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5625,0.25
179_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5,0.375
180_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.9375,0.0
186_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.3125,0.375
