file,category,model,prompt_version,score_rate,omission_rate
4_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.625,0.25
5_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.25,0.625
9_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.625,0.25
10_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.125,0.75
11_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5625,0.375
12_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.375,0.5
13_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.3125,0.625
14_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.3125,0.5
16_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.3125,0.5
17_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,1.0,0.0
18_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.25,0.625
19_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.3125,0.5
20_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.25,0.75
31_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.625,0.25
32_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.625,0.25
36_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5,0.5
38_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.1875,0.625
40_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.375,0.25
41_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5,0.375
43_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.1875,0.75
44_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.1875,0.75
48_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.0625,0.875
54_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.625,0.25
55_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5,0.25
56_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.375,0.375
57_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.3125,0.5
61_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5,0.25
62_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5,0.375
63_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.375,0.5
64_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5,0.25
67_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.4375,0.375
69_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.3125,0.5
70_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.0625,0.875
71_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.1875,0.75
72_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.4375,0.375
73_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.75,0.0
85_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.375,0.375
86_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.0625,0.875
88_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5,0.375
93_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.4375,0.5
94_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.6875,0.0
99_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.375,0.25
100_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.3125,0.5
101_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.375,0.375
102_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.1875,0.625
103_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.1875,0.75
104_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5,0.375
107_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.6875,0.25
115_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5625,0.25
116_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.375,0.375
120_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.375,0.375
121_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.75,0.125
122_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.375,0.375
123_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.625,0.125
124_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5625,0.125
125_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.6875,0.125
126_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5,0.375
127_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.5,0.25
128_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.625,0.25
129_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.8125,0.0
133_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.9375,0.0
134_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.375,0.375
136_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.1875,0.625
137_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.8125,0.125
142_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.75,0.0
147_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.4375,0.375
148_md.md,1_长篇结构化应用文档,qwen3.5-27b,baseline,0.8125,0.125
